Nome,Preco,Imagem,Categoria
Tapete Higiênico Meau Cheirinho Cítrico para Cães,74.32,https://www.petlove.com.br/images/products/265085/product/Tapete_Higi%C3%AAnico_Super_Me.Au_Pet_Cheirinho_C%C3%ADtrico_para_C%C3%A3es_10.jpg?1668614836,Higiene
Tapete Higiênico Meau para Cães,74.32,https://www.petlove.com.br/images/products/265294/product/Tapete_Higi%C3%AAnico_Me.Au_Pet_para_C%C3%A3es_10.jpg?1669132800,Higiene
Tapete Higiênico Meau Cheirinho Cítrico Slim para Cães,68.72,https://www.petlove.com.br/images/products/270770/product/_0009_2492322_Meau_Slim_C%C3%ADtrico_%282%29.jpg?1689187724,Higiene
Tapete Higiênico Meau Slim para Cães,68.72,https://www.petlove.com.br/images/products/270781/product/_0001_2492321_Meau_Slim_Sem_Cheirinho_%282%29.jpg?1689188055,Higiene
Tapete Higiênico Biodegradável Ecoa para Cães,76.42,https://www.petlove.com.br/images/products/267956/product/Tapete_Higi%C3%AAnico_Ecol%C3%B3gico_Ecoa_75X60_para_C%C3%A3es_31027522846_%281%29.png?1682025561,Higiene
Tapete Higiênico Super Secão Citrus - 30 Unidades,96.29,https://www.petlove.com.br/images/products/260949/product/Tapete_Higi%C3%AAnico_Super_Sec%C3%A3o_Citrus_3104451_%281%29.jpg?1660325640,Higiene
Tapete Higiênico Expet Blue Premium,69.93,https://www.petlove.com.br/images/products/278896/product/Padr%C3%A3o-Beagle_%281%29_0005_1_01.jpg?1712176129,Higiene
Lenços Umedecidos American Pets - 80 Toalhas,19.25,https://www.petlove.com.br/images/products/176195/product/Len%C3%A7os-Umedecidos-Chalesco---80-Toalhas.jpg?1627579596,Higiene
Tapete Higiênico São Francisco Fofo Pads para Cães,113.39,https://www.petlove.com.br/images/products/211708/product/Tapete_Higi%C3%AAnico_S%C3%A3o_Francisco_Fofo_Pads_para_C%C3%A3es_50-und..jpg?1627679234,Higiene
Tapete Higiênico São Francisco Sapecão com Atrativo Canino High Premium,96.65,https://www.petlove.com.br/images/products/269334/product/Tapete_Higi%C3%AAnico_S%C3%A3o_Francisco_Sapec%C3%A3o_com_Atrativo_Canino_High_Premium_319655.jpg?1685538931,Higiene
